CLOSING_PRICE,DATE
92.71,1-Jan-14
93.77,2-Jan-14
96.95,3-Jan-14
97.31,6-Jan-14
98.02,7-Jan-14
98.5,8-Jan-14
97.14,9-Jan-14
97.25,10-Jan-14
99.4,13-Jan-14
100.84,14-Jan-14
102,15-Jan-14
101.85,16-Jan-14
102.9,17-Jan-14
101.25,20-Jan-14
102.65,21-Jan-14
105.25,22-Jan-14
105.81,23-Jan-14
108.57,24-Jan-14
110.66,27-Jan-14
111.16,28-Jan-14
108.62,29-Jan-14
108.65,30-Jan-14
108.07,31-Jan-14
109.89,3-Feb-14
109.5,4-Feb-14
109.97,5-Feb-14
114.19,6-Feb-14
113.85,7-Feb-14
113.81,10-Feb-14
114.08,11-Feb-14
114.86,12-Feb-14
116.7,13-Feb-14
114.35,14-Feb-14
114.75,17-Feb-14
114.5,18-Feb-14
115,19-Feb-14
115.4,20-Feb-14
114.34,21-Feb-14
114.79,24-Feb-14
115.35,25-Feb-14
116.33,26-Feb-14
114.2,27-Feb-14
112.15,28-Feb-14
114.43,3-Mar-14
115.59,4-Mar-14
114.13,5-Mar-14
116.64,6-Mar-14
121.4,7-Mar-14
120.14,10-Mar-14
120.4,11-Mar-14
119.66,12-Mar-14
121.5,13-Mar-14
123.2,14-Mar-14
120.25,17-Mar-14
121.1,18-Mar-14
121.34,19-Mar-14
122.2,20-Mar-14
123.89,21-Mar-14
122.7,24-Mar-14
122,25-Mar-14
121.45,26-Mar-14
121.9,27-Mar-14
122.4,28-Mar-14
123.5,31-Mar-14
122.9,1-Apr-14
120.96,2-Apr-14
120.87,3-Apr-14
121.5,4-Apr-14
123.66,7-Apr-14
125.6,8-Apr-14
124.05,9-Apr-14
124.7,10-Apr-14
124.49,11-Apr-14
122.14,14-Apr-14
120.31,15-Apr-14
118.05,16-Apr-14
118.85,17-Apr-14
117.4,18-Apr-14
119.9,21-Apr-14
114.25,22-Apr-14
112.37,23-Apr-14
110.5,24-Apr-14
107.9,25-Apr-14
108.72,28-Apr-14
109.28,29-Apr-14
108.15,30-Apr-14
103,1-May-14
105.55,2-May-14
107.89,5-May-14
108,6-May-14
106.8,7-May-14
106.3,8-May-14
106.63,9-May-14
103.91,12-May-14
104.99,13-May-14
107.38,14-May-14
106.57,15-May-14
108.07,16-May-14
107.89,19-May-14
102.89,20-May-14
,
,
,
