CLOSING_PRICE,DATE
35.51,1-Jan-14
36.57,2-Jan-14
39.75,3-Jan-14
40.11,6-Jan-14
40.82,7-Jan-14
41.3,8-Jan-14
39.94,9-Jan-14
40.05,10-Jan-14
42.2,13-Jan-14
43.64,14-Jan-14
44.8,15-Jan-14
44.65,16-Jan-14
45.7,17-Jan-14
44.05,20-Jan-14
45.45,21-Jan-14
48.05,22-Jan-14
48.61,23-Jan-14
51.37,24-Jan-14
53.46,27-Jan-14
53.96,28-Jan-14
51.42,29-Jan-14
51.45,30-Jan-14
50.87,31-Jan-14
52.69,3-Feb-14
52.3,4-Feb-14
52.77,5-Feb-14
56.99,6-Feb-14
56.65,7-Feb-14
56.61,10-Feb-14
56.88,11-Feb-14
57.66,12-Feb-14
59.5,13-Feb-14
57.15,14-Feb-14
57.55,17-Feb-14
57.3,18-Feb-14
57.8,19-Feb-14
58.2,20-Feb-14
57.14,21-Feb-14
57.59,24-Feb-14
58.15,25-Feb-14
59.13,26-Feb-14
57,27-Feb-14
54.95,28-Feb-14
57.23,3-Mar-14
58.39,4-Mar-14
56.93,5-Mar-14
59.44,6-Mar-14
64.2,7-Mar-14
62.94,10-Mar-14
63.2,11-Mar-14
62.46,12-Mar-14
64.3,13-Mar-14
66,14-Mar-14
63.05,17-Mar-14
63.9,18-Mar-14
64.14,19-Mar-14
65,20-Mar-14
66.69,21-Mar-14
65.5,24-Mar-14
64.8,25-Mar-14
64.25,26-Mar-14
64.7,27-Mar-14
65.2,28-Mar-14
66.3,31-Mar-14
65.7,1-Apr-14
63.76,2-Apr-14
63.67,3-Apr-14
64.3,4-Apr-14
66.46,7-Apr-14
68.4,8-Apr-14
66.85,9-Apr-14
67.5,10-Apr-14
67.29,11-Apr-14
64.94,14-Apr-14
63.11,15-Apr-14
60.85,16-Apr-14
61.65,17-Apr-14
60.2,18-Apr-14
62.7,21-Apr-14
57.05,22-Apr-14
55.17,23-Apr-14
53.3,24-Apr-14
50.7,25-Apr-14
51.52,28-Apr-14
52.08,29-Apr-14
50.95,30-Apr-14
45.8,1-May-14
48.35,2-May-14
50.69,5-May-14
50.8,6-May-14
49.6,7-May-14
49.1,8-May-14
49.43,9-May-14
46.71,12-May-14
47.79,13-May-14
50.18,14-May-14
49.37,15-May-14
50.87,16-May-14
50.69,19-May-14
45.69,20-May-14
