CLOSING_PRICE,DATE
64.93,1-Jan-14
65.94,2-Jan-14
69.09,3-Jan-14
69.45,6-Jan-14
70.19,7-Jan-14
70.64,8-Jan-14
69.28,9-Jan-14
69.39,10-Jan-14
71.54,13-Jan-14
72.98,14-Jan-14
74.14,15-Jan-14
73.99,16-Jan-14
75.04,17-Jan-14
73.58,20-Jan-14
74.79,21-Jan-14
77.39,22-Jan-14
77.95,23-Jan-14
80.71,24-Jan-14
82.8,27-Jan-14
83.49,28-Jan-14
80.53,29-Jan-14
80.86,30-Jan-14
80.21,31-Jan-14
82.03,3-Feb-14
81.64,4-Feb-14
82.18,5-Feb-14
86.2,6-Feb-14
85.99,7-Feb-14
85.93,10-Feb-14
86.37,11-Feb-14
87,12-Feb-14
88.84,13-Feb-14
86.49,14-Feb-14
86.89,17-Feb-14
86.64,18-Feb-14
87.14,19-Feb-14
87.69,20-Feb-14
86.48,21-Feb-14
86.93,24-Feb-14
87.56,25-Feb-14
88.47,26-Feb-14
86.34,27-Feb-14
84.29,28-Feb-14
86.57,3-Mar-14
87.73,4-Mar-14
86.27,5-Mar-14
88.78,6-Mar-14
93.54,7-Mar-14
92.28,10-Mar-14
92.54,11-Mar-14
91.8,12-Mar-14
93.64,13-Mar-14
95.34,14-Mar-14
92.87,17-Mar-14
93.28,18-Mar-14
93.48,19-Mar-14
94.34,20-Mar-14
96.03,21-Mar-14
94.84,24-Mar-14
94.14,25-Mar-14
93.59,26-Mar-14
94.04,27-Mar-14
94.54,28-Mar-14
95.64,31-Mar-14
95.04,1-Apr-14
93.1,2-Apr-14
93.05,3-Apr-14
93.64,4-Apr-14
95.8,7-Apr-14
97.74,8-Apr-14
96.19,9-Apr-14
96.84,10-Apr-14
96.63,11-Apr-14
94.28,14-Apr-14
92.54,15-Apr-14
90.91,16-Apr-14
90.99,17-Apr-14
89.54,18-Apr-14
92.04,21-Apr-14
86.47,22-Apr-14
84.51,23-Apr-14
82.64,24-Apr-14
80.04,25-Apr-14
80.86,28-Apr-14
81.24,29-Apr-14
80.29,30-Apr-14
75.14,1-May-14
77.69,2-May-14
80.03,5-May-14
80.14,6-May-14
78.94,7-May-14
78.31,8-May-14
78.77,9-May-14
76.05,12-May-14
77.13,13-May-14
79.27,14-May-14
78.71,15-May-14
80.12,16-May-14
80.03,19-May-14
75.03,20-May-14
