CLOSING_PRICE,DATE
82.74,1-Jan-14
83.91,2-Jan-14
87.02,3-Jan-14
87.38,6-Jan-14
88.12,7-Jan-14
88.76,8-Jan-14
87.19,9-Jan-14
87.32,10-Jan-14
89.47,13-Jan-14
90.91,14-Jan-14
92.07,15-Jan-14
91.92,16-Jan-14
92.97,17-Jan-14
91.49,20-Jan-14
92.78,21-Jan-14
95.27,22-Jan-14
95.77,23-Jan-14
98.45,24-Jan-14
100.73,27-Jan-14
101.42,28-Jan-14
98.42,29-Jan-14
98.79,30-Jan-14
98.14,31-Jan-14
99.96,3-Feb-14
99.57,4-Feb-14
100.03,5-Feb-14
104.08,6-Feb-14
103.92,7-Feb-14
103.86,10-Feb-14
104.3,11-Feb-14
104.93,12-Feb-14
106.77,13-Feb-14
104.42,14-Feb-14
104.82,17-Feb-14
104.57,18-Feb-14
105.07,19-Feb-14
105.62,20-Feb-14
104.41,21-Feb-14
104.86,24-Feb-14
105.21,25-Feb-14
106.4,26-Feb-14
104.27,27-Feb-14
102.19,28-Feb-14
104.5,3-Mar-14
105.66,4-Mar-14
104.2,5-Mar-14
106.71,6-Mar-14
111.47,7-Mar-14
110.21,10-Mar-14
110.47,11-Mar-14
109.73,12-Mar-14
111.57,13-Mar-14
113.27,14-Mar-14
110.86,17-Mar-14
111.21,18-Mar-14
111.41,19-Mar-14
112.27,20-Mar-14
113.72,21-Mar-14
112.77,24-Mar-14
112.07,25-Mar-14
111.49,26-Mar-14
111.97,27-Mar-14
112.47,28-Mar-14
113.61,31-Mar-14
112.97,1-Apr-14
111.03,2-Apr-14
110.98,3-Apr-14
111.57,4-Apr-14
113.73,7-Apr-14
115.72,8-Apr-14
114.12,9-Apr-14
114.77,10-Apr-14
114.56,11-Apr-14
112.21,14-Apr-14
110.47,15-Apr-14
108.84,16-Apr-14
108.92,17-Apr-14
107.47,18-Apr-14
109.97,21-Apr-14
104.4,22-Apr-14
102.44,23-Apr-14
100.57,24-Apr-14
97.92,25-Apr-14
98.79,28-Apr-14
99.17,29-Apr-14
98.22,30-Apr-14
93.07,1-May-14
95.62,2-May-14
97.96,5-May-14
98.07,6-May-14
96.87,7-May-14
96.29,8-May-14
96.7,9-May-14
93.82,12-May-14
95.06,13-May-14
97.2,14-May-14
96.64,15-May-14
98.05,16-May-14
97.67,19-May-14
93.54,20-May-14
